unom,T1 < min,P1 <= 0,Сильная течь в системе отопления,Протечка труб в подъезде,Течь в системе отопления,T1 > max,P2 <= 0,Температура в квартире ниже нормативной,Отсутствие отопления в доме,Температура в помещении общего пользования ниже нормативной,Аварийная протечка труб в подъезде,Крупные пожары,ID ODS,№ ОДС,ods_adress,ID УУ,Адрес,Округ,Группа,Потребитель (или УК),ЦТП,Объём поданого теплоносителя в систему ЦО,Объём обратного теплоносителя из системы ЦО,Температура подачи,Температура обратки,Наработка часов счётчика,Проект,Количество этажей,Количество подъездов,Количество квартир,Общая площадь,Общая площадь жилых помещений,Общая площадь нежилых помещений,Материалы стен,Признак аварийности здания ,Количество пассажирских лифтов,Количество грузопассажирских лифтов,Материалы кровли по БТИ,Типы жилищного фонда,Статусы МКД
371,0,0,0,0,0,1,0,1,0,0,0,0,143495311.0,ОДС №21-Гольяново,"город Москва, Байкальская улица, дом 41, корпус 3",785457404.0,"Алтайская ул., д. 10",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/009,140.16547628089887,143.53959973033707,82.92561797752808,44.868426966292134,23.528745320224722,,,,,,,,,,,,,,
372,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,I-515,9.0,4.0,144.0,7226.9,7223.3,632.1304779315749,панельные,нет,4.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
373,0,0,0,0,0,0,0,1,1,0,0,0,143495311.0,ОДС №21-Гольяново,"город Москва, Байкальская улица, дом 41, корпус 3",144277216.0,"Алтайская ул., д. 14",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/009,81.63116483516484,81.41512087912089,87.25393773076924,52.949427659340664,23.496648351648354,П-18/22,12.0,1.0,84.0,3658.4,3657.9,0.0,из железобетонных сегментов,нет,2.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
374,0,0,0,0,0,0,0,1,0,0,0,0,143495311.0,ОДС №21-Гольяново,"город Москва, Байкальская улица, дом 41, корпус 3",198660136.0,"Алтайская ул., д. 15",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0615/002,497.68676923076913,497.00733333333335,58.16344211282051,49.995423456410265,22.939025641025644,I-515,9.0,4.0,144.0,7166.9,7164.6,632.1304779315749,панельные,нет,4.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
375,0,0,0,0,1,1,0,1,1,0,0,0,143495311.0,ОДС №21-Гольяново,"город Москва, Байкальская улица, дом 41, корпус 3",183325375.0,"Алтайская ул., д. 16",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/009,146.51953124882627,147.80916226760564,83.90980104225353,60.101575539906094,23.99947733333334,П-18/22,12.0,1.0,84.0,3627.5,3627.5,0.0,из железобетонных сегментов,нет,2.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
376,0,0,0,0,0,0,0,1,1,0,0,0,143495311.0,ОДС №21-Гольяново,"город Москва, Байкальская улица, дом 41, корпус 3",211106456.0,"Алтайская ул., д. 17, к. 1",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0615/001,1006.2794472361809,1003.7387939698493,59.46949328643217,50.507035195979896,23.62070351758794,,,,,,,,,,,,,,
377,0,0,0,0,0,0,0,1,0,0,0,0,143495311.0,ОДС №21-Гольяново,"город Москва, Байкальская улица, дом 41, корпус 3",161602831.0,"Алтайская ул., д. 17, к. 2",ВАО,МКД,"ООО ""УК Гольяново-Восток""",04-06-0615/002,280.2213708920188,280.01337558685447,55.034448356807516,44.484154892018786,23.302910798122067,П-68,16.0,1.0,105.0,5319.8,5055.6,264.2,из железобетонных сегментов,нет,1.0,1.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
378,0,0,0,0,0,1,0,1,1,0,0,0,143495311.0,ОДС №21-Гольяново,"город Москва, Байкальская улица, дом 41, корпус 3",144248890.0,"Алтайская ул., д. 18",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/010,297.28080985915494,297.6788530704225,83.00922025352112,52.53194169483568,23.957331549295773,,,,,,,,,,,,,,
379,0,0,0,0,0,0,0,1,1,1,0,0,143495311.0,ОДС №21-Гольяново,"город Москва, Байкальская улица, дом 41, корпус 3",198671012.0,"Алтайская ул., д. 19",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0615/001,426.835424,420.14920774647885,58.52223693427229,49.13693509859154,22.919879464788732,I-515,9.0,4.0,144.0,7101.4,7099.5,632.1304779315749,панельные,нет,4.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
380,0,0,0,0,0,1,0,1,0,0,0,0,143495132.0,ОДС №29-Гольяново,"город Москва, Новосибирская улица, дом 6, корпус 2",211109655.0,"Алтайская ул., д. 22",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/026,104.63713596713615,101.80093254460094,84.14349691079812,53.87220330046949,23.94858604694836,нет данных,12.0,1.0,84.0,3624.5,3624.5,0.0,из железобетонных сегментов,нет,2.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
381,0,0,0,0,0,1,0,1,0,0,0,0,143495132.0,ОДС №29-Гольяново,"город Москва, Новосибирская улица, дом 6, корпус 2",146941938.0,"Алтайская ул., д. 24",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/026,61.23296976056339,61.42397025821596,84.16854777464789,47.500240948356804,23.977629610328638,II-18-01/12,12.0,1.0,84.0,3621.2,3621.2,0.0,из железобетонных сегментов,нет,2.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
382,0,0,1,0,0,1,0,1,0,0,0,0,143495120.0,ОДС №28-Гольяново,"город Москва, Хабаровская улица, дом 14, корпус 1",174654450.0,"Алтайская ул., д. 25",ВАО,МКД,"ООО ""УК Гольяново-Восток""",04-06-0601/051,291.9868049436619,292.30073539906107,84.56586853521128,64.09769422535211,23.99980056338028,П-49 Д,9.0,6.0,215.0,10356.0,10356.0,0.0,панельные,нет,6.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
383,0,0,1,0,0,0,0,1,0,0,0,0,143495132.0,ОДС №29-Гольяново,"город Москва, Новосибирская улица, дом 6, корпус 2",140384325.0,"Алтайская ул., д. 26",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/026,275.57193396226415,253.76357975,86.21980183962263,44.55888727358491,22.41795608018868,,,,,,,,,,,,,,
384,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,П-49 Д,9.0,6.0,215.0,10291.8,10274.5,632.1304779315749,панельные,нет,6.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
385,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,II-49-06,9.0,6.0,214.0,10312.6,10254.0,58.6,панельные,нет,6.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
387,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,П-49 Д,9.0,6.0,216.0,10401.9,10401.9,0.0,панельные,нет,6.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
388,0,0,0,0,0,0,0,1,1,0,0,0,143495510.0,ОДС №54-Гольяново,"город Москва, Хабаровская улица, дом 4",211112724.0,"Алтайская ул., д. 32",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/068,629.050726230047,626.2995525211268,58.49390077934272,46.7316316713615,23.992507291079814,,,,,,,,,,,,,,
389,0,0,0,0,0,0,0,1,1,0,0,0,143495120.0,ОДС №28-Гольяново,"город Москва, Хабаровская улица, дом 14, корпус 1",203380908.0,"Алтайская ул., д. 33/7",ВАО,МКД,"ООО ""УК Гольяново-Восток""",04-06-0601/078,571.2859540046948,562.774519511737,65.95653574647886,49.8041619201878,23.201196807511735,,,,,,,,,,,,,,
462,0,0,0,0,0,1,0,1,0,0,0,0,143494982.0,ОДС №25-Богородское,"город Москва, Малая Черкизовская улица, дом 64 ",674519832.0,"Алымов пер., д. 13",ВАО,МКД,"ООО ""ДОМОУПРАВЛЕНИЕ""",04-01-0610/013,81.72028132394367,81.67857109859156,90.15529839906104,54.99489101408451,23.974558173708918,индивидуальный проект,5.0,4.0,60.0,3606.1,3217.0,389.1,кирпичные,нет,0.0,0.0,стальная,МКД,в эксплуатации
463,0,0,0,0,0,1,0,1,0,1,0,0,143494982.0,ОДС №25-Богородское,"город Москва, Малая Черкизовская улица, дом 64 ",661871473.0,"Алымов пер., д. 17, к. 1",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА БОГОРОДСКОЕ""",04-01-0610/013,96.49127970892019,95.05781433333333,88.33164552112676,55.16618433802817,23.993737159624416,индивидуальный проект,5.0,4.0,60.0,3575.0,3286.0,289.0,кирпичные,нет,0.0,0.0,стальная,МКД,в эксплуатации
464,0,0,0,0,0,1,0,1,0,0,0,0,143494982.0,ОДС №25-Богородское,"город Москва, Малая Черкизовская улица, дом 64 ",661822706.0,"Алымов пер., д. 17, к. 2",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА БОГОРОДСКОЕ""",04-01-0610/013,60.46098105633803,60.60626879342723,85.99381280751174,53.45144096244131,23.011768037558685,индивидуальный проект,5.0,2.0,40.0,1892.2,1578.5,313.7,кирпичные,нет,0.0,0.0,стальная,МКД,в эксплуатации
523,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,0,0,0,0,0,1,0,1,0,0,0,0,143494751.0,ОДС №17-Гольяново,"город Москва, Щёлковское шоссе, дом 19",193961858.0,"Амурская ул., д. 8",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0603/033,212.80890965258217,211.63820722065728,78.98156253990611,50.8437634084507,22.152089291079815,I-515,5.0,7.0,140.0,6117.6,6117.6,0.0,панельные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
525,0,0,0,0,0,0,0,1,1,1,0,0,,,,,,,,,,,,,,,I-515,5.0,5.0,100.0,4477.5,4477.5,0.0,панельные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
526,0,0,0,0,0,1,0,1,0,0,0,0,143494751.0,ОДС №17-Гольяново,"город Москва, Щёлковское шоссе, дом 19",367616753.0,"Амурская ул., д. 14",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0603/033,140.88940312440192,140.89395652631578,84.74250995215311,51.3439863923445,23.620054105263158,I-515,5.0,7.0,137.0,6055.0,5937.7,117.3,панельные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
527,0,0,0,0,0,0,0,1,0,0,0,0,143494751.0,ОДС №17-Гольяново,"город Москва, Щёлковское шоссе, дом 19",785483311.0,"Амурская ул., д. 16, к. 1",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0603/033,63.030525600938965,64.35105358685446,90.38073280751173,42.78017795305164,23.596433258215967,I-515,5.0,5.0,100.0,4466.8,4466.8,0.0,панельные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
528,0,0,0,0,0,1,0,1,0,0,0,0,143494751.0,ОДС №17-Гольяново,"город Москва, Щёлковское шоссе, дом 19",344243059.0,"Амурская ул., д. 20",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0603/033,124.5312912629108,126.08848664788732,81.07281264788733,47.796151685446006,23.253086718309863,I-515,5.0,7.0,140.0,6085.4,6085.4,0.0,панельные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
530,0,0,0,0,0,1,0,1,0,0,0,0,143495226.0,ОДС №18-Гольяново,"город Москва, Амурская улица, дом 62, корпус 1",313691023.0,"Амурская ул., д. 21, к. 1",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/001,64.5574882629108,64.47954460093897,83.29581376995304,49.54049296244131,23.228779342723,индивидуальный проект,4.0,3.0,39.0,3455.8,2639.7,816.1,кирпичные,нет,0.0,0.0,стальная,МКД,в эксплуатации
531,0,0,0,0,0,1,0,0,0,0,0,0,143495226.0,ОДС №18-Гольяново,"город Москва, Амурская улица, дом 62, корпус 1",192745857.0,"Амурская ул., д. 21, к. 2",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/001,58.142337422535206,55.664303201877935,81.76981653051644,47.92328915492958,22.88804146478873,индивидуальный проект,4.0,4.0,64.0,2558.8,2551.7,632.1304779315749,кирпичные,нет,0.0,0.0,асбофанера-шифер,МКД,в эксплуатации
532,0,0,0,0,0,1,0,1,0,0,0,0,143495226.0,ОДС №18-Гольяново,"город Москва, Амурская улица, дом 62, корпус 1",192739909.0,"Амурская ул., д. 21, к. 3",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/001,88.00062353051644,87.70251063380282,83.93083475586855,50.37448837089202,23.290646549295772,индивидуальный проект,5.0,4.0,74.0,3387.3,3135.9,251.4,кирпичные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
533,0,0,0,0,0,1,0,1,1,0,0,0,143494751.0,ОДС №17-Гольяново,"город Москва, Щёлковское шоссе, дом 19",368791162.0,"Амурская ул., д. 22, к. 1",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0603/033,114.69775619718311,112.89535315023474,80.04831593427231,51.3900194741784,23.612631807511736,I-515,5.0,5.0,100.0,4462.4,4462.4,0.0,панельные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
534,0,0,0,0,0,1,0,1,0,0,0,0,143495226.0,ОДС №18-Гольяново,"город Москва, Амурская улица, дом 62, корпус 1",192742753.0,"Амурская ул., д. 23, к. 1",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/001,49.22308951173709,52.75054788262911,82.77262335680751,42.286911877934266,22.850913751173714,I-511,5.0,4.0,80.0,3435.2,3435.2,0.0,кирпичные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
535,0,0,0,0,0,1,0,1,0,0,0,0,143495226.0,ОДС №18-Гольяново,"город Москва, Амурская улица, дом 62, корпус 1",163051489.0,"Амурская ул., д. 23, к. 2",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/001,93.77032785915493,92.91935421596246,84.7967118309859,54.523124746478864,23.999148370892016,I-515,5.0,4.0,80.0,3558.2,3558.2,0.0,панели керамзитобетонные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
536,0,0,0,0,0,0,0,1,0,1,0,0,143495226.0,ОДС №18-Гольяново,"город Москва, Амурская улица, дом 62, корпус 1",785494116.0,"Амурская ул., д. 23, к. 3",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/001,56.50814591878173,38.521742827411174,80.6877555177665,44.9528271573604,15.851379578680202,индивидуальный проект,4.0,4.0,64.0,2582.9,2572.4,632.1304779315749,кирпичные,нет,0.0,0.0,асбофанера-шифер,МКД,в эксплуатации
537,0,0,0,0,0,0,0,1,0,0,0,0,143495226.0,ОДС №18-Гольяново,"город Москва, Амурская улица, дом 62, корпус 1",785481570.0,"Амурская ул., д. 25, к. 1",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/001,114.48558997183099,115.527458370892,65.22681204694835,45.99184406103286,23.103987859154927,индивидуальный проект,5.0,6.0,106.0,5133.8,4357.9,775.9,кирпичные,нет,0.0,0.0,стальная,МКД,в эксплуатации
538,0,0,0,0,0,1,0,1,0,0,0,0,143495226.0,ОДС №18-Гольяново,"город Москва, Амурская улица, дом 62, корпус 1",192736466.0,"Амурская ул., д. 25, к. 3",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/001,66.2625726713615,65.03093364788732,87.41556893896716,54.8958833568075,22.46756310798122,индивидуальный проект,5.0,3.0,60.0,2453.4,2453.4,0.0,кирпичные,нет,0.0,0.0,стальная,МКД,в эксплуатации
539,0,0,0,0,0,1,0,1,0,0,0,0,143494751.0,ОДС №17-Гольяново,"город Москва, Щёлковское шоссе, дом 19",193958283.0,"Амурская ул., д. 26",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0603/029,58.238352112676054,58.10548356807512,87.14059075586854,49.14544210798123,23.361924882629108,I-515,5.0,4.0,80.0,3558.2,3558.2,0.0,панельные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
540,0,0,0,0,0,1,0,1,0,0,0,0,143495226.0,ОДС №18-Гольяново,"город Москва, Амурская улица, дом 62, корпус 1",136937848.0,"Амурская ул., д. 27",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/001,62.13213394835681,61.88430026760563,83.69018541784038,45.45362798122065,23.005021507042258,I-511,5.0,4.0,80.0,3530.1,3414.7,115.4,кирпичные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
541,0,0,0,0,1,1,0,1,0,0,0,0,143494751.0,ОДС №17-Гольяново,"город Москва, Щёлковское шоссе, дом 19",193954217.0,"Амурская ул., д. 28",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0603/029,53.79963733802817,54.24237776995306,86.42419441784038,48.593715600938964,23.994428323943662,I-515,5.0,4.0,80.0,3547.1,3547.1,0.0,панельные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
542,0,0,0,0,1,1,0,1,0,0,0,0,143495226.0,ОДС №18-Гольяново,"город Москва, Амурская улица, дом 62, корпус 1",369648869.0,"Амурская ул., д. 29",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/001,73.25520604225353,72.3293606056338,82.6404698826291,47.83743195305165,23.959046272300473,нет данных,5.0,4.0,80.0,3616.0,3416.0,200.0,кирпичные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
543,0,0,0,0,0,1,0,1,0,0,0,0,143494751.0,ОДС №17-Гольяново,"город Москва, Щёлковское шоссе, дом 19",382622933.0,"Амурская ул., д. 30",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0603/029,63.59089201877934,63.113990610328635,86.57914707042254,49.49115807981221,23.30910798122066,I-515,5.0,4.0,80.0,3512.9,3512.9,0.0,панельные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
544,0,0,0,0,0,0,0,1,0,0,0,0,143495226.0,ОДС №18-Гольяново,"город Москва, Амурская улица, дом 62, корпус 1",192733059.0,"Амурская ул., д. 31",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/001,132.55439592417062,134.05967213744077,78.31837720379147,42.957838748815156,23.899198848341232,I-515,5.0,8.0,160.0,7821.4,7021.7,799.7,панельные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
545,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,I-515,5.0,4.0,80.0,3503.0,3503.0,0.0,панельные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
546,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,I-515,5.0,4.0,80.0,3534.5,3534.5,0.0,панельные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
547,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,нет данных,5.0,4.0,80.0,3364.7,3364.7,0.0,кирпичные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
548,0,0,0,0,0,0,0,1,1,0,0,0,143494751.0,ОДС №17-Гольяново,"город Москва, Щёлковское шоссе, дом 19",785483499.0,"Амурская ул., д. 40",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0621/004,70.53555235714285,76.27470055612244,85.99987077040818,51.98344285714286,21.702949367346935,нет данных,5.0,4.0,80.0,3382.1,3382.1,0.0,кирпичные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
